CustomerKey,Region,Model,IncomeGroup,FreqBuy
16188,Europe,Sport-100,Low,2
15758,Pacific,Sport-100,High,2
15761,North America,Sport-100,Low,2
15783,Pacific,Sport-100,High,2
15804,Pacific,Sport-100,High,2
16386,Europe,Sport-100,Low,2
16481,Pacific,Sport-100,Low,2
16594,Europe,Sport-100,High,2
15866,North America,Sport-100,Moderate,2
16585,Europe,Sport-100,High,2
16479,North America,Sport-100,Moderate,2
16717,North America,Sport-100,Moderate,2
16721,North America,Sport-100,Low,2
16831,Europe,Sport-100,High,2
16948,North America,Sport-100,Moderate,2
17303,Pacific,Sport-100,Moderate,2
17114,Europe,Sport-100,Moderate,2
17192,Europe,Sport-100,High,2
17503,Pacific,Sport-100,Moderate,2
17579,North America,Sport-100,Moderate,2
18126,Europe,Sport-100,High,2
20082,North America,Sport-100,Low,2
11185,North America,Water Bottle,High,2
11724,North America,Water Bottle,High,2
11740,North America,Water Bottle,High,2
11929,Pacific,Water Bottle,Low,2
11429,Europe,Water Bottle,High,2
11431,Europe,Water Bottle,High,2
12203,North America,Water Bottle,High,2
11869,North America,Water Bottle,High,2
12074,North America,Water Bottle,High,2
12959,North America,Water Bottle,High,2
12964,North America,Water Bottle,High,2
11823,North America,Water Bottle,High,2
11276,North America,Water Bottle,High,2
12140,North America,Water Bottle,High,2
13096,North America,Water Bottle,Moderate,2
13140,Pacific,Water Bottle,Moderate,2
13206,North America,Water Bottle,High,2
13517,Europe,Water Bottle,Low,2
11142,North America,Touring Tire Tube,Moderate,2
11253,North America,Touring Tire Tube,Moderate,2
11331,North America,Touring Tire Tube,High,2
11019,North America,Touring Tire Tube,Moderate,2
11176,North America,Touring Tire Tube,High,2
11185,North America,Touring Tire Tube,High,2
11200,North America,Touring Tire Tube,High,2
11502,North America,Touring Tire Tube,Moderate,2
11507,North America,Touring Tire Tube,Moderate,2
11417,Europe,Touring-1000,High,2
11420,Europe,Touring-1000,High,2
11619,North America,Touring Tire Tube,Moderate,2
11425,Europe,Touring-1000,High,2
11241,Europe,Touring-1000,High,2
11242,Europe,Touring-1000,High,2
19646,North America,Sport-100,Low,2
18968,North America,Sport-100,Moderate,2
17181,Europe,Sport-100,High,2
17184,Europe,Sport-100,High,2
17185,Europe,Sport-100,High,2
17491,North America,Sport-100,Moderate,2
11276,North America,Touring Tire,High,2
11287,North America,Touring Tire,High,2
11300,North America,Touring Tire,High,2
17867,North America,Sport-100,Moderate,2
19031,Europe,Sport-100,High,2
17221,Europe,Sport-100,High,2
17811,Europe,Sport-100,Moderate,2
19364,Europe,Sport-100,Moderate,2
13936,North America,Water Bottle,High,2
13289,North America,Water Bottle,High,2
13290,North America,Water Bottle,High,2
13350,North America,Water Bottle,High,2
14308,Pacific,Water Bottle,High,2
14310,Pacific,Water Bottle,High,2
15197,North America,Water Bottle,Moderate,2
15677,Europe,Water Bottle,Moderate,2
15678,Europe,Water Bottle,Moderate,2
16262,Europe,Water Bottle,Moderate,2
16827,Europe,Water Bottle,High,2
14566,North America,Water Bottle,Moderate,2
15047,Europe,Water Bottle,Low,2
12158,North America,Water Bottle,High,2
12159,North America,Water Bottle,High,2
12166,North America,Water Bottle,High,2
13423,North America,Water Bottle,High,2
12182,North America,Water Bottle,High,2
16247,North America,Water Bottle,Moderate,2
17183,Europe,Water Bottle,High,2
17374,North America,Water Bottle,Moderate,2
18139,Europe,Water Bottle,High,2
18140,Europe,Water Bottle,High,2
17218,Europe,Water Bottle,High,2
17221,Europe,Water Bottle,High,2
17338,North America,Water Bottle,Moderate,2
17207,Europe,Water Bottle,High,2
17202,Europe,Water Bottle,High,2
11287,North America,Touring Tire Tube,High,2
17203,Europe,Water Bottle,High,1
17208,Europe,Water Bottle,High,1
17210,Europe,Water Bottle,High,1
17216,Europe,Water Bottle,High,1
17344,North America,Water Bottle,Moderate,1
17349,North America,Water Bottle,Moderate,1
17353,Pacific,Water Bottle,Moderate,1
17356,North America,Water Bottle,Moderate,1
17360,North America,Water Bottle,Moderate,1
17362,North America,Water Bottle,High,1
17365,North America,Water Bottle,High,1
17371,North America,Water Bottle,Moderate,1
17222,Europe,Water Bottle,High,1
17225,Europe,Water Bottle,High,1
17242,Pacific,Water Bottle,High,1
17256,Pacific,Water Bottle,High,1
17265,North America,Water Bottle,High,1
17266,North America,Water Bottle,High,1
17273,North America,Water Bottle,High,1
17288,Pacific,Water Bottle,High,1
17324,Pacific,Water Bottle,High,1
17325,Pacific,Water Bottle,High,1
17327,Pacific,Water Bottle,High,1
17328,Pacific,Water Bottle,High,1
17333,Pacific,Water Bottle,High,1
18143,Europe,Water Bottle,High,1
18147,Europe,Water Bottle,High,1
18163,Europe,Water Bottle,High,1
18166,Europe,Water Bottle,High,1
18168,Europe,Water Bottle,High,1
18171,Europe,Water Bottle,High,1
18173,Europe,Water Bottle,High,1
18176,Europe,Water Bottle,High,1
18183,Europe,Water Bottle,High,1
18185,Europe,Water Bottle,High,1
18186,Europe,Water Bottle,High,1
18196,Pacific,Water Bottle,High,1
18201,Pacific,Water Bottle,High,1
18204,Pacific,Water Bottle,High,1
18221,Pacific,Water Bottle,High,1
18224,North America,Water Bottle,High,1
18225,North America,Water Bottle,High,1
18230,North America,Water Bottle,Moderate,1
18235,North America,Water Bottle,High,1
18237,North America,Water Bottle,High,1
18277,Pacific,Water Bottle,Moderate,1
18292,Pacific,Water Bottle,High,1
18311,North America,Water Bottle,Moderate,1
18323,North America,Water Bottle,Moderate,1
18328,North America,Water Bottle,Moderate,1
18335,Pacific,Water Bottle,Moderate,1
18336,Pacific,Water Bottle,Moderate,1
18338,Pacific,Water Bottle,Moderate,1
18339,North America,Water Bottle,Moderate,1
18340,North America,Water Bottle,Moderate,1
18341,North America,Water Bottle,Moderate,1
18343,North America,Water Bottle,Moderate,1
18347,North America,Water Bottle,Low,1
18357,North America,Water Bottle,High,1
18359,North America,Water Bottle,Moderate,1
18362,North America,Water Bottle,Moderate,1
18375,North America,Water Bottle,High,1
18380,North America,Water Bottle,High,1
18381,North America,Water Bottle,High,1
18383,North America,Water Bottle,High,1
18385,North America,Water Bottle,High,1
18386,North America,Water Bottle,High,1
18396,North America,Water Bottle,High,1
18397,North America,Water Bottle,High,1
18399,North America,Water Bottle,High,1
18400,North America,Water Bottle,High,1
18402,North America,Water Bottle,High,1
18403,North America,Water Bottle,High,1
18404,North America,Water Bottle,High,1
18405,North America,Water Bottle,High,1
18408,North America,Water Bottle,Moderate,1
18410,North America,Water Bottle,Moderate,1
18416,North America,Water Bottle,High,1
18417,North America,Water Bottle,High,1
18419,North America,Water Bottle,High,1
18421,North America,Water Bottle,High,1
18425,North America,Water Bottle,Moderate,1
18427,North America,Water Bottle,High,1
18434,North America,Water Bottle,High,1
18442,North America,Water Bottle,High,1
18453,North America,Water Bottle,Moderate,1
18455,North America,Water Bottle,Moderate,1
18456,North America,Water Bottle,Moderate,1
18472,North America,Water Bottle,Low,1
18473,North America,Water Bottle,Moderate,1
18474,North America,Water Bottle,Moderate,1
18475,North America,Water Bottle,Low,1
18476,North America,Water Bottle,Low,1
18481,North America,Water Bottle,High,1
18498,North America,Water Bottle,High,1
18499,North America,Water Bottle,Moderate,1
18500,North America,Water Bottle,Moderate,1
18505,North America,Water Bottle,Moderate,1
18507,North America,Water Bottle,Moderate,1
18508,North America,Water Bottle,High,1
18511,North America,Water Bottle,High,1
18514,North America,Water Bottle,High,1
18515,North America,Water Bottle,High,1
18526,North America,Water Bottle,High,1
18528,North America,Water Bottle,High,1
18529,North America,Water Bottle,Moderate,1
18531,North America,Water Bottle,Moderate,1
18536,North America,Water Bottle,Moderate,1
18539,North America,Water Bottle,High,1
18550,North America,Water Bottle,Moderate,1
18555,North America,Water Bottle,Moderate,1
18561,North America,Water Bottle,High,1
18564,North America,Water Bottle,Moderate,1
18582,North America,Water Bottle,High,1
18589,North America,Water Bottle,Moderate,1
18608,North America,Water Bottle,Moderate,1
18611,North America,Water Bottle,High,1
18615,North America,Water Bottle,High,1
18630,Europe,Water Bottle,Low,1
18633,Europe,Water Bottle,Low,1
18642,North America,Water Bottle,Moderate,1
18651,North America,Water Bottle,Low,1
18653,North America,Water Bottle,Low,1
18658,North America,Water Bottle,Low,1
18661,North America,Water Bottle,Low,1
18662,North America,Water Bottle,Low,1
18663,North America,Water Bottle,Low,1
18665,North America,Water Bottle,Low,1
18667,North America,Water Bottle,Low,1
18668,North America,Water Bottle,Low,1
18670,North America,Water Bottle,Moderate,1
18719,Pacific,Water Bottle,Moderate,1
18730,Pacific,Water Bottle,High,1
18750,North America,Water Bottle,Low,1
18761,North America,Water Bottle,Low,1
18778,North America,Water Bottle,Low,1
18779,North America,Water Bottle,Low,1
18782,North America,Water Bottle,High,1
18808,North America,Water Bottle,High,1
18819,North America,Water Bottle,High,1
18826,North America,Water Bottle,High,1
18864,North America,Water Bottle,High,1
18904,North America,Water Bottle,Low,1
18905,North America,Water Bottle,High,1
18910,North America,Water Bottle,Low,1
18911,North America,Water Bottle,Low,1
18916,North America,Water Bottle,Low,1
18917,North America,Water Bottle,Low,1
18925,North America,Water Bottle,Moderate,1
18933,North America,Water Bottle,Low,1
18951,North America,Water Bottle,High,1
18961,North America,Water Bottle,High,1
18979,North America,Water Bottle,Moderate,1
19028,Europe,Water Bottle,High,1
19030,Europe,Water Bottle,High,1
19032,Europe,Water Bottle,High,1
19038,Europe,Water Bottle,High,1
19040,Europe,Water Bottle,High,1
19049,Europe,Water Bottle,High,1
19055,Europe,Water Bottle,High,1
19058,Europe,Water Bottle,High,1
19062,Europe,Water Bottle,High,1
19101,Pacific,Water Bottle,High,1
19119,North America,Water Bottle,Moderate,1
19147,North America,Water Bottle,Moderate,1
19179,Europe,Water Bottle,Low,1
19180,Europe,Water Bottle,Low,1
19183,Europe,Water Bottle,Low,1
19193,Europe,Water Bottle,Moderate,1
19195,Europe,Water Bottle,Moderate,1
19197,Europe,Water Bottle,Moderate,1
19206,North America,Water Bottle,Low,1
19208,North America,Water Bottle,Low,1
19210,North America,Water Bottle,Low,1
19215,North America,Water Bottle,Low,1
19221,North America,Water Bottle,Low,1
19222,North America,Water Bottle,Low,1
19257,Europe,Water Bottle,Low,1
19273,Europe,Water Bottle,Low,1
19281,Europe,Water Bottle,Low,1
19302,Europe,Water Bottle,Low,1
19303,Europe,Water Bottle,Low,1
19306,Europe,Water Bottle,Low,1
19358,Europe,Water Bottle,Low,1
19365,Europe,Water Bottle,Moderate,1
19367,Europe,Water Bottle,Low,1
19370,Europe,Water Bottle,Low,1
19372,Europe,Water Bottle,Low,1
19374,Europe,Water Bottle,Low,1
19376,Europe,Water Bottle,Low,1
19377,Europe,Water Bottle,Low,1
19390,Europe,Water Bottle,Low,1
19404,North America,Water Bottle,Low,1
19420,Europe,Water Bottle,Moderate,1
19431,Europe,Water Bottle,Low,1
19438,Europe,Water Bottle,Moderate,1
19441,Europe,Water Bottle,Moderate,1
19444,Europe,Water Bottle,Low,1
19453,Europe,Water Bottle,Moderate,1
19464,Europe,Water Bottle,Low,1
19476,Europe,Water Bottle,Moderate,1
19554,North America,Water Bottle,High,1
19626,Pacific,Water Bottle,High,1
19629,Pacific,Water Bottle,High,1
19638,North America,Water Bottle,Low,1
19640,North America,Water Bottle,Low,1
19644,North America,Water Bottle,Low,1
19656,North America,Water Bottle,Low,1
19704,North America,Water Bottle,Moderate,1
19718,North America,Water Bottle,High,1
19730,North America,Water Bottle,High,1
19736,North America,Water Bottle,High,1
19739,North America,Water Bottle,High,1
19740,North America,Water Bottle,High,1
19748,Pacific,Water Bottle,Low,1
19749,North America,Water Bottle,High,1
19752,Pacific,Water Bottle,Low,1
19753,Pacific,Water Bottle,Low,1
19761,Pacific,Water Bottle,Low,1
19762,Pacific,Water Bottle,Low,1
19780,North America,Water Bottle,High,1
19798,Pacific,Water Bottle,High,1
19801,North America,Water Bottle,Low,1
19807,Pacific,Water Bottle,High,1
19812,North America,Water Bottle,High,1
19830,North America,Water Bottle,High,1
19831,North America,Water Bottle,High,1
19841,North America,Water Bottle,High,1
19844,North America,Water Bottle,High,1
19845,North America,Water Bottle,High,1
19854,North America,Water Bottle,High,1
19855,North America,Water Bottle,High,1
19869,North America,Water Bottle,High,1
19874,North America,Water Bottle,Moderate,1
19884,North America,Water Bottle,Moderate,1
19899,Europe,Water Bottle,High,1
19903,Europe,Water Bottle,High,1
19911,Europe,Water Bottle,High,1
19916,Europe,Water Bottle,High,1
19931,Europe,Water Bottle,High,1
19942,Europe,Water Bottle,High,1
19952,Pacific,Water Bottle,High,1
19953,Pacific,Water Bottle,High,1
19955,Pacific,Water Bottle,High,1
19972,Pacific,Water Bottle,High,1
19982,North America,Water Bottle,High,1
19987,North America,Water Bottle,Moderate,1
20002,North America,Water Bottle,High,1
20003,North America,Water Bottle,High,1
20004,North America,Water Bottle,High,1
20012,North America,Water Bottle,High,1
20074,North America,Water Bottle,Low,1
